script,arg,raw
kda_infer_check.py,--model-dir,"""--model-dir"", required=True"
kda_infer_check.py,--device,"""--device"", default=""cuda"""
kda_infer_check.py,--dtype,"""--dtype"", default=""bfloat16"", choices=[""bfloat16"", ""float16"", ""float32""]"
kda_infer_check.py,--max-new-tokens,"""--max-new-tokens"", type=int, default=32"
kda_infer_check.py,--prompt,"""--prompt"", action=""append"", required=True"
kda_infer_check_1to1.py,--model-dir,"""--model-dir"", required=True"
kda_infer_check_1to1.py,--device,"""--device"", default=""cuda"""
kda_infer_check_1to1.py,--dtype,"""--dtype"", default=""bfloat16"", choices=[""bfloat16"", ""float16"", ""float32""]"
kda_infer_check_1to1.py,--max-new-tokens,"""--max-new-tokens"", type=int, default=32"
kda_infer_check_1to1.py,--prompt,"""--prompt"", action=""append"", required=True"
load_kda_stageA.py,--model-dir,"""--model-dir"", required=True, help=""Directory containing final checkpoint + kda_reload_manifest.json"""
load_kda_stageA.py,--device,"""--device"", default=""cuda"""
load_kda_stageA.py,--dtype,"""--dtype"", default=""bfloat16"", choices=[""bfloat16"", ""float16"", ""float32""]"
load_kda_stageA.py,--strict,"""--strict"", action=""store_true"", help=""Use strict state_dict load."""
smoke_checkpoints.py,--out-dir,"""--out-dir"", required=True"
smoke_checkpoints.py,--manifest-dir,"""--manifest-dir"", default=None"
smoke_checkpoints.py,--device,"""--device"", default=""cuda"""
smoke_checkpoints.py,--dtype,"""--dtype"", default=""bfloat16"", choices=[""bfloat16"", ""float16"", ""float32""]"
smoke_checkpoints.py,--max-new-tokens,"""--max-new-tokens"", type=int, default=16"
smoke_checkpoints.py,--prompt,"""--prompt"", action=""append"""
smoke_checkpoints_1to1.py,--out-dir,"""--out-dir"", required=True"
smoke_checkpoints_1to1.py,--manifest-dir,"""--manifest-dir"", default=None"
smoke_checkpoints_1to1.py,--device,"""--device"", default=""cuda"""
smoke_checkpoints_1to1.py,--dtype,"""--dtype"", default=""bfloat16"", choices=[""bfloat16"", ""float16"", ""float32""]"
smoke_checkpoints_1to1.py,--max-new-tokens,"""--max-new-tokens"", type=int, default=16"
smoke_checkpoints_1to1.py,--prompt,"""--prompt"", action=""append"""
smoke_checkpoints_llama.py,--out-dir,"""--out-dir"", required=True"
smoke_checkpoints_llama.py,--manifest-dir,"""--manifest-dir"", default=None"
smoke_checkpoints_llama.py,--device,"""--device"", default=""cuda"""
smoke_checkpoints_llama.py,--dtype,"""--dtype"", default=""bfloat16"", choices=[""bfloat16"", ""float16"", ""float32""]"
smoke_checkpoints_llama.py,--max-new-tokens,"""--max-new-tokens"", type=int, default=16"
smoke_checkpoints_llama.py,--prompt,"""--prompt"", action=""append"""
