script,model_id,model_revision,init_from_local_dir,output_dir,cache_dir,run_name,max_seq_length,batch_size,grad_accum,num_epochs,max_steps,train_mode,use_logit_kd,teacher_model_id,replace_ratio_hint,prefer_local_prepared_data,require_local_prepared_data,prepared_data_dir
kimi_phi_kda_train_paper_mode.py,microsoft/Phi-tiny-MoE-instruct,2fe50e88d0e2a5a132563815686ea0dcc8e252b5,,/root/kda_project/Kimi_Project/checkpoints_stage1,/root/kda_project/huggingface_cache,,4096,4,8,2,20,g_only,,,3:1 or script-defined,True,True,/data/pepe_files/kda_project/Kimi_Project/prepared_data
kimi_phi_kda_train_v10_29_shared.py,microsoft/Phi-tiny-MoE-instruct,2fe50e88d0e2a5a132563815686ea0dcc8e252b5,,/root/kda_project/Kimi_Project/checkpoints_stage1,/root/kda_project/huggingface_cache,,4096,4,8,2,0,g_only,,,3:1 or script-defined,True,True,/data/pepe_files/kda_project/Kimi_Project/prepared_data
kimi_phi_kda_train_v10_29_shared_stageA.py,microsoft/Phi-tiny-MoE-instruct,2fe50e88d0e2a5a132563815686ea0dcc8e252b5,/root/kda_project/Kimi_Project/checkpoints_stage1_1000/checkpoint-400,/root/kda_project/Kimi_Project/checkpoints_stage2_full_kda,/root/kda_project/huggingface_cache,,4096,1,32,2,0,full_kda,,,3:1 or script-defined,True,True,/data/pepe_files/kda_project/Kimi_Project/prepared_data
kimi_qwen3_control_train_stageA.py,Qwen/Qwen3-1.7B-Base,,,/root/kda_project/Kimi_Project/qwen3_control_nokda_nokd_samecorpus_s1_4k,/root/kda_project/huggingface_cache,,4096,1,4,2,20,full_kda,,,control/no-KDA,True,True,/data/pepe_files/kda_project/Kimi_Project/prepared_data
kimi_qwen3_control_train_stageA_4k_gc_s300.py,Qwen/Qwen3-1.7B-Base,,,/root/kda_project/Kimi_Project/qwen3_control_nokda_4k_gc_s300,/root/kda_project/huggingface_cache,,4096,1,4,2,300,full_kda,,,control/no-KDA,True,True,/data/pepe_files/kda_project/Kimi_Project/prepared_data
kimi_qwen3_kda_train_stageA.py,Qwen/Qwen3-1.7B-Base,,,/root/kda_project/Kimi_Project/qwen3_kda_samecorpus_s1_4k_s1000,/root/kda_project/huggingface_cache,,4096,1,4,2,1000,full_kda,,,3:1 or script-defined,True,True,/data/pepe_files/kda_project/Kimi_Project/prepared_data
kimi_qwen3_kda_train_stageA_logitkd_epoch1_w200.py,Qwen/Qwen3-1.7B-Base,,,/root/kda_project/Kimi_Project/qwen3_kda_samecorpus_s1_4k_logitkd_w200_epoch1,/root/kda_project/huggingface_cache,,4096,1,4,2,42521,full_kda,True,Qwen/Qwen3-1.7B-Base,3:1 or script-defined,True,True,/data/pepe_files/kda_project/Kimi_Project/prepared_data
kimi_qwen3_kda_train_stageA_logitkd_epoch1_w200_ratio1to1.py,Qwen/Qwen3-1.7B-Base,,,/root/kda_project/Kimi_Project/qwen3_kda_samecorpus_s1_4k_logitkd_w200_epoch1_ratio1to1,/root/kda_project/huggingface_cache,,4096,1,4,2,42521,full_kda,True,Qwen/Qwen3-1.7B-Base,1:1,True,True,/data/pepe_files/kda_project/Kimi_Project/prepared_data
kimi_qwen3_kda_train_stageA_logitkd300_w200.py,Qwen/Qwen3-1.7B-Base,,,/root/kda_project/Kimi_Project/qwen3_kda_samecorpus_s1_4k_logitkd_w200_s300,/root/kda_project/huggingface_cache,,4096,1,4,2,300,full_kda,True,Qwen/Qwen3-1.7B-Base,3:1 or script-defined,True,True,/data/pepe_files/kda_project/Kimi_Project/prepared_data
kimi_qwen3_kda_train_stageA_run100.py,Qwen/Qwen3-1.7B-Base,,,/root/kda_project/Kimi_Project/qwen3_kda_samecorpus_s1_4k_main,/root/kda_project/huggingface_cache,,4096,1,4,2,100,full_kda,,,3:1 or script-defined,True,True,/data/pepe_files/kda_project/Kimi_Project/prepared_data
llama32_control_train_stageA_4k_gc_s300.py,meta-llama/Llama-3.2-1B,,,/root/kda_project/Kimi_Project/llama32_control_nokda_4k_gc_s300,/root/kda_project/huggingface_cache,llama32_control_nokda_4k_gc_s300,4096,1,4,2,300,full_kda,,,control/no-KDA,True,True,/data/pepe_files/kda_project/Kimi_Project/prepared_data
llama32_kda_train_stageA_3to1_ce_epoch1.py,meta-llama/Llama-3.2-1B,,,/root/kda_project/Kimi_Project/llama32_kda_samecorpus_s1_4k_3to1_ce_epoch1,/root/kda_project/huggingface_cache,llama32_kda_3to1_ce_epoch1,4096,1,4,2,42521,full_kda,,,3:1 or script-defined,True,True,/data/pepe_files/kda_project/Kimi_Project/prepared_data
llama32_kda_train_stageA_3to1_ce_sanity100.py,meta-llama/Llama-3.2-1B,,,/root/kda_project/Kimi_Project/llama32_kda_samecorpus_s1_4k_3to1_ce_sanity100,/root/kda_project/huggingface_cache,llama32_kda_3to1_ce_sanity100,4096,1,4,2,100,full_kda,,,3:1 or script-defined,True,True,/data/pepe_files/kda_project/Kimi_Project/prepared_data
